,Date_Added,Release_Date,link,team,title
0,"June 07, 2020","June 4, 2020",https://www.torontofc.ca/post/2020/06/04/mls-clubs-return-full-team-training,https:torontofc,MLS Clubs to Return to Full Team Training
1,"June 07, 2020","May 29, 2020",https://www.torontofc.ca/post/2020/05/29/reds-storm-back-we-had-win-so-were-just-going-go-it-much-possible,https:torontofc,"Reds Storm Back | â€œWe had to win, so we're just going to go for it as much as possible"""
2,"June 07, 2020","May 29, 2020 (2 min)",https://www.torontofc.ca/post/2020/05/29/mb4-all-one-moment-presented-bell?autoplay=true,https:torontofc,ALL FOR ONE | MB4
3,"June 07, 2020","May 28, 2020",https://www.torontofc.ca/post/2020/05/28/mls-clubs-begin-voluntary-small-group-training-sessions,https:torontofc,MLS Clubs to Begin Voluntary Small Group Training Sessions
4,"June 07, 2020","May 26, 2020 (26 min)",https://www.torontofc.ca/post/2020/05/26/tfc-returns-mls-cup-ft-michael-bradley-steven-beitashour-drew-moor-reds-rewind?autoplay=true,https:torontofc,"REDS REWIND | '17 Conference Champs ft. Bradley, Moor, Beitashour"
5,"June 07, 2020","June 6, 2020",https://www.whitecapsfc.com/post/2020/06/06/analysts-corner-art-free-kick,whitecapsfc,Analysts' Corner: The art of the free kick
6,"June 07, 2020","June 5, 2020",https://www.whitecapsfc.com/post/2020/06/05/ricketts-its-fight-weve-been-fighting-long-time,whitecapsfc,'It's a fight we've been fighting for a long time'
7,"June 07, 2020","June 5, 2020",https://www.whitecapsfc.com/post/2020/06/05/full-steam-ahead,whitecapsfc,"Reactions to new CBA deal, players voice support for BLM movement"
8,"June 07, 2020","June 4, 2020",https://www.whitecapsfc.com/post/2020/06/04/mls-clubs-permitted-return-full-team-training-compliance-local-policies,whitecapsfc,"MLS permits full team training, in compliance with local policies"
9,"June 07, 2020","June 4, 2020",https://www.whitecapsfc.com/post/2020/06/04/i-am-thelonius-bair-and-i-stand-my-brothers-and-sisters,whitecapsfc,'I stand for my brothers and sisters'
